ChessID	DefaultSkin
201101	jiahua
201201	jiahua
201102	luxun
201202	luxun
201103	bulianshi
201203	bulianshi
201104	ganning
201204	ganning
201105	sunlingluan
201205	sunlingluan
201106	dingfeng
201206	dingfeng
201107	guyong
201207	guyong
201108	huanggai
201208	huanggai
201109	zhangzhao
201209	zhangzhao
201110	handang
201210	handang
201111	lingtong
201211	lingtong
201112	sunce
201212	sunce
201113	zhouyu
201213	zhouyu
201114	lvmeng
201214	lvmeng
201115	sunjian
201215	sunjian
201116	taishici
201216	taishici
201117	daqiao
201217	daqiao
201118	sunhao
201218	sunhao
201119	zumao
201219	zumao
201120	daofushou
201220	daofushou
201121	jiefanwei
201221	jiefanwei
201122	jinfanjun
201222	jinfanjun
201123	dongwushuibing
201223	dongwushuibing
202101	caoxiu
202201	caoxiu
202102	xiahoudun
202202	xiahoudun
202103	wangyi
202203	wangyi
202104	yujin
202204	yujin
202105	zhugedan
202205	zhugedan
202106	duanqiaoxiao
202206	duanqiaoxiao
202107	simalang
202207	simalang
202108	xunyu
202208	xunyu
202109	zhanghe
202209	zhanghe
202110	caopi
202210	caopi
202111	dengai
202211	dengai
202112	zhenji
202212	zhenji
202113	guojia
202213	guojia
202114	caoren
202214	caoren
202115	dianwei
202215	dianwei
202116	xizhicai
202216	xizhicai
202117	caojinyu
202217	caojinyu
202118	simayi
202218	simayi
202119	zhonghui
202219	zhonghui
202120	jinwei
202220	jinwei
202121	xuchu
202221	xuchu
202122	lidian
202222	lidian
202123	xuelingyun
202223	xuelingyun
202124	wangshuang
202224	wangshuang
203101	liuyu
203201	liuyu
203102	wangcan
203202	wangcan
203103	xugong
203203	xugong
203104	zoushi
203204	zoushi
203105	caiyong
203205	caiyong
203106	chendeng
203206	chendeng
203107	shixie
203207	shixie
203108	xingdaorong
203208	xingdaorong
203109	hucheer
203209	hucheer
203110	panfeng
203210	panfeng
203111	simahui
203211	simahui
203112	wupu
203212	wupu
203113	caiwenji
203213	caiwenji
203114	chengui
203214	chengui
203115	hanfu
203215	hanfu
203116	huatuo
203216	huatuo
203117	liubiao
203217	liubiao
203118	pangdegong
203218	pangdegong
203119	yuji
203219	yuji
203120	jiaxu
203220	jiaxu
203121	lvbu
203221	lvbu
203122	miheng
203222	miheng
203123	nanhualaoxian
203223	nanhualaoxian
203124	xushao
203224	xushao
203125	zuoci
203225	zuoci
203126	cike
203226	cike
204101	wulan
204201	wulan
204102	yiji
204202	yiji
204103	mifuren
204203	mifuren
204104	mizhu
204204	mizhu
204105	weiyan
204205	weiyan
204106	huangyueying
204206	huangyueying
204107	pangtong
204207	pangtong
