SpellID	DefaultSkin
310001	bingguishensu
310002	caochuanjiejian
310003	diaohulishan
310004	dongzhuxianji
310005	dongzhuxianji
310006	dongzhuxianji
310007	douzhuanxingyi
310008	fulei
310009	fudichouxin
310010	guanmenzhuozei
310011	guohechaiqiao
310012	guohechaiqiao
310013	hunshuimoyu
310014	huogong
310015	huogong
310016	huoshangjiaoyou
310017	huoshangjiaoyou
310018	jiedao
310019	jieshihuanhun
310020	jinchantuoqiao
310021	jinchantuoqiao
310022	jiu
310023	jiu
310024	jiu
310025	jiu
310026	jiu
310027	juedou
310028	juedou
310029	kurouji
310030	kurouji
310031	lebusishu
310032	lianjunshengyan
310033	mantianguohai
310034	meirenji
310035	nanmanruqin
310036	nanmanruqin
310037	paozhuanyinyu
310038	pofuchenzhou
310039	pozhenkuidi
310040	pozhenkuidi
310041	qixinbingli
310042	qixinbingli
310043	qixinbingli
310044	qinzeiqinwang
310045	sadouchengbing
310046	sangumaolu
310047	sanshiliuji
310048	shandian
310049	shushangkaihua
310050	shunshouqianyang
310051	shunshouqianyang
310052	suijiyingbian
310053	tao
310054	tao
310055	tao
310056	tao
310057	tao
310058	taoyuanjieyi
310059	taoyuanjieyi
310060	taoyuanjieyi
310061	tianjiangshenbing
310062	toulianghuanzhu
310063	toulianghuanzhu
310064	tunliang
310065	tunliang
310066	wanjianqifa
310067	wangmeizhike
310068	wuxiekeji
310069	wuzhongshengyou
310070	wuzhongshengyou
310071	wugufengdeng
310072	xianqu
310073	xianqu
310074	xianqu
310075	yimadangxian
310076	yiyidailao
310077	yuanjun
310078	yuanjun
310079	yuanjiaojingong
310080	zengbingjianzao
310081	zhendu
310082	zhisifangxiu
310083	zhulianbihe
310084	zhulianbihe
310085	zhulianbihe
310086	zhulianbihe
310087	zhulianbihe
310088	houyijinnang
310089	houyijinnang
310090	houyijinnang
310091	kurouji
